"","journal","category2","journalimpactfactor","hindex","journalcountry","publisher","coverage","eigenfactorscore","whoregionjournal","unregionjournal","worldbankregionjournal","economicjournal","Genderinequalityindex2019","gender_unknown","gender_numerator","gender_denominator","unknown_denominator","gender_pct","unknown_pct","gender_neat","unknown_neat","AB_num","AB_den","AB_pct","AB_neat","EiC_num","EiC_den","EiC_pct","EiC_neat","EB_num","EB_den","EB_pct","EB_neat","EL_num","EL_den","EL_pct","EL_neat","EC_num","EC_den","EC_pct","EC_neat","WHO_AF_n","WHO_AF_pct","WHO_AF_neat","WHO_AM_n","WHO_AM_pct","WHO_AM_neat","WHO_EM_n","WHO_EM_pct","WHO_EM_neat","WHO_EU_n","WHO_EU_pct","WHO_EU_neat","WHO_SEA_n","WHO_SEA_pct","WHO_SEA_neat","WHO_unknown_n","WHO_unknown_pct","WHO_unknown_neat","WHO_WP_n","WHO_WP_pct","WHO_WP_neat","HIC_n","HIC_pct","HIC_neat","LIC_n","LIC_pct","LIC_neat","LMIC_n","LMIC_pct","LMIC_neat","eco_unknown_n","eco_unknown_pct","eco_unknown_neat","UMIC_n","UMIC_pct","UMIC_neat","WB_EAP_n","WB_EAP_pct","WB_EAP_neat","WB_ECA_n","WB_ECA_pct","WB_ECA_neat","WB_LAC_n","WB_LAC_pct","WB_LAC_neat","WB_MENA_n","WB_MENA_pct","WB_MENA_neat","WB_NA_n","WB_NA_pct","WB_NA_neat","WB_SA_n","WB_SA_pct","WB_SA_neat","WB_SSA_n","WB_SSA_pct","WB_SSA_neat","WB_unknown_n","WB_unknown_pct","WB_unknown_neat","UN_AF_n","UN_AF_pct","UN_AF_neat","UN_AP_n","UN_AP_pct","UN_AP_neat","UN_EE_n","UN_EE_pct","UN_EE_neat","UN_LAC_n","UN_LAC_pct","UN_LAC_neat","UN_unknown_n","UN_unknown_pct","UN_unknown_neat","UN_WEO_n","UN_WEO_pct","UN_WEO_neat"
"1","Accident Analysis & Prevention","PEO Health","3.655",152,"United Kingdom","Elsevier Ltd.","1969-2020",0.02007,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,14,87,87,"16%","0%","16% (14)","0% (0)","11","70","15.7%","15.7% (11)","0","1","0.0%","0.0% (0)","3","17","17.6%","17.6% (3)","3","17","17.6%","17.6% (3)",NA,NA,NA,NA,NA,NA,NA,"49","56.3%","56.3% (49)","1","1.1%","1.1% (1)","18","20.7%","20.7% (18)",NA,NA,NA,NA,NA,NA,"19","21.8%","21.8% (19)","79","90.8%","90.8% (79)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","9.2%","9.2% (8)","19","21.8%","21.8% (19)","15","17.2%","17.2% (15)","2","2.3%","2.3% (2)","4","4.6%","4.6% (4)","47","54.0%","54.0% (47)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11.5%","11.5% (10)",NA,NA,NA,"2","2.3%","2.3% (2)",NA,NA,NA,"75","86.2%","86.2% (75)"
"2","Administration and Policy in Mental Health and Mental Health Services Research","PEO Health","2.313",68,"United States","Springer New York","1988-2020",0.00667,"Americas","Western European and Other","North America","High-income",".204",0,20,43,43,"46%","0%","46% (20)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","20","43","46.5%","46.5% (20)","5","10","50.0%","50.0% (5)",NA,NA,NA,NA,NA,NA,NA,"40","93.0%","93.0% (40)",NA,NA,NA,"2","4.7%","4.7% (2)",NA,NA,NA,NA,NA,NA,"1","2.3%","2.3% (1)","43","100.0%","100.0% (43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2.3%","2.3% (1)","2","4.7%","4.7% (2)",NA,NA,NA,NA,NA,NA,"40","93.0%","93.0% (40)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2.3%","2.3% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","97.7%","97.7% (42)"
"3","Advances in Climate Change Research","Environment","3.967",25,"China","Science Press","2010-2020",0.00152,"Western Pacific","Asia and Pacific","East Asia and Pacific","Upper-middle-income",".168",1,14,99,100,"14%","1%","14% (14)","1% (1)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","14","99","14.1%","14.1% (14)","0","19","0.0%","0.0% (0)","4","14","28.6%","28.6% (4)",NA,NA,NA,"13","13.0%","13.0% (13)",NA,NA,NA,"26","26.0%","26.0% (26)","3","3.0%","3.0% (3)",NA,NA,NA,"58","58.0%","58.0% (58)","45","45.0%","45.0% (45)",NA,NA,NA,"2","2.0%","2.0% (2)",NA,NA,NA,"53","53.0%","53.0% (53)","59","59.0%","59.0% (59)","26","26.0%","26.0% (26)",NA,NA,NA,NA,NA,NA,"13","13.0%","13.0% (13)","2","2.0%","2.0% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","60.0%","60.0% (60)","1","1.0%","1.0% (1)",NA,NA,NA,NA,NA,NA,"39","39.0%","39.0% (39)"
"4","AEROBIOLOGIA","Environment","2.708",49,"Netherlands","Springer Netherlands","1985-2020",0.00124,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",0,18,39,39,"46%","0%","46% (18)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","18","39","46.2%","46.2% (18)","9","19","47.4%","47.4% (9)",NA,NA,NA,NA,NA,NA,NA,"14","35.9%","35.9% (14)",NA,NA,NA,"22","56.4%","56.4% (22)",NA,NA,NA,NA,NA,NA,"3","7.7%","7.7% (3)","38","97.4%","97.4% (38)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2.6%","2.6% (1)","3","7.7%","7.7% (3)","22","56.4%","56.4% (22)","1","2.6%","2.6% (1)",NA,NA,NA,"13","33.3%","33.3% (13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","7.7%","7.7% (3)","4","10.3%","10.3% (4)","1","2.6%","2.6% (1)",NA,NA,NA,"31","79.5%","79.5% (31)"
"5","AEROSOL SCIENCE AND TECHNOLOGY","Environment","2.34",109,"United Kingdom","Taylor and Francis Ltd.","1982-2020",0.00513,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,7,30,30,"24%","0%","24% (7)","0% (0)","4","17","23.5%","23.5% (4)",NA,NA,NA,NA,"3","13","23.1%","23.1% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","73.3%","73.3% (22)",NA,NA,NA,"4","13.3%","13.3% (4)",NA,NA,NA,NA,NA,NA,"4","13.3%","13.3% (4)","28","93.3%","93.3% (28)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","6.7%","6.7% (2)","4","13.3%","13.3% (4)","4","13.3%","13.3% (4)",NA,NA,NA,NA,NA,NA,"22","73.3%","73.3% (22)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","13.3%","13.3% (4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","86.7%","86.7% (26)"
"6","AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE","Environment","1.31",28,"United Kingdom","Taylor and Francis Ltd.","1993-2020",0.00067,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,11,38,38,"28%","0%","28% (11)","0% (0)","2","12","16.7%","16.7% (2)","0","1","0.0%","0.0% (0)","9","26","34.6%","34.6% (9)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,"26","68.4%","68.4% (26)","2","5.3%","5.3% (2)","1","2.6%","2.6% (1)","6","15.8%","15.8% (6)",NA,NA,NA,NA,NA,NA,"3","7.9%","7.9% (3)","11","28.9%","28.9% (11)","2","5.3%","5.3% (2)","1","2.6%","2.6% (1)",NA,NA,NA,"24","63.2%","63.2% (24)","3","7.9%","7.9% (3)","6","15.8%","15.8% (6)",NA,NA,NA,"1","2.6%","2.6% (1)","2","5.3%","5.3% (2)",NA,NA,NA,"26","68.4%","68.4% (26)",NA,NA,NA,"26","68.4%","68.4% (26)","1","2.6%","2.6% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","28.9%","28.9% (11)"
"7","African Journal of Reproductive Health","PEO Health",".711",41,"Nigeria","Women's Health and Action Research Centre","1997-1998, 2000-2020",0.00099,"Africa","Africa","Sub-Saharan Africa","Lower-middle-income","..",2,10,35,37,"28%","5%","28% (10)","5% (2)","9","31","29.0%","29.0% (9)","0","1","0.0%","0.0% (0)","1","4","25.0%","25.0% (1)","0","2","0.0%","0.0% (0)",NA,NA,NA,NA,"20","54.1%","54.1% (20)","9","24.3%","24.3% (9)",NA,NA,NA,"7","18.9%","18.9% (7)",NA,NA,NA,NA,NA,NA,"1","2.7%","2.7% (1)","17","45.9%","45.9% (17)",NA,NA,NA,"14","37.8%","37.8% (14)",NA,NA,NA,"6","16.2%","16.2% (6)","1","2.7%","2.7% (1)","7","18.9%","18.9% (7)",NA,NA,NA,NA,NA,NA,"9","24.3%","24.3% (9)",NA,NA,NA,"20","54.1%","54.1% (20)",NA,NA,NA,"20","54.1%","54.1% (20)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","45.9%","45.9% (17)"
"8","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","Environment","4.241",174,"Netherlands","Elsevier Ltd.","1983-2020",0.02537,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",4,14,53,57,"26%","7%","26% (14)","7% (4)","11","42","26.2%","26.2% (11)","0","2","0.0%","0.0% (0)","3","11","27.3%","27.3% (3)","0","2","0.0%","0.0% (0)",NA,NA,NA,NA,"2","3.5%","3.5% (2)","13","22.8%","22.8% (13)",NA,NA,NA,"26","45.6%","45.6% (26)","1","1.8%","1.8% (1)",NA,NA,NA,"15","26.3%","26.3% (15)","43","75.4%","75.4% (43)",NA,NA,NA,"3","5.3%","5.3% (3)",NA,NA,NA,"11","19.3%","19.3% (11)","15","26.3%","26.3% (15)","26","45.6%","45.6% (26)","4","7.0%","7.0% (4)",NA,NA,NA,"9","15.8%","15.8% (9)","1","1.8%","1.8% (1)","2","3.5%","3.5% (2)",NA,NA,NA,"2","3.5%","3.5% (2)","10","17.5%","17.5% (10)",NA,NA,NA,"4","7.0%","7.0% (4)",NA,NA,NA,"41","71.9%","71.9% (41)"
"9","AIDS and Behavior","PEO Health","3.147",106,"United States","Springer New York","1997-2020",0.02301,"Americas","Western European and Other","North America","High-income",".204",1,47,104,105,"46%","1%","46% (47)","1% (1)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","47","104","45.2%","45.2% (47)","4","10","40.0%","40.0% (4)",NA,NA,NA,NA,"12","11.4%","11.4% (12)","86","81.9%","81.9% (86)",NA,NA,NA,"2","1.9%","1.9% (2)",NA,NA,NA,NA,NA,NA,"5","4.8%","4.8% (5)","89","84.8%","84.8% (89)","3","2.9%","2.9% (3)","1","1.0%","1.0% (1)",NA,NA,NA,"12","11.4%","11.4% (12)","5","4.8%","4.8% (5)","2","1.9%","1.9% (2)","3","2.9%","2.9% (3)",NA,NA,NA,"83","79.0%","79.0% (83)",NA,NA,NA,"12","11.4%","11.4% (12)",NA,NA,NA,"12","11.4%","11.4% (12)","2","1.9%","1.9% (2)",NA,NA,NA,"3","2.9%","2.9% (3)",NA,NA,NA,"88","83.8%","83.8% (88)"
"10","AIDS Care-Psychological and Socio-Medical Aspects of AIDS/HIV","PEO Health","1.894",97,"United Kingdom","Routledge","1989-2020",0.01207,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,22,51,51,"44%","0%","44% (22)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","22","51","43.1%","43.1% (22)","3","4","75.0%","75.0% (3)",NA,NA,NA,NA,"3","5.9%","5.9% (3)","26","51.0%","51.0% (26)",NA,NA,NA,"20","39.2%","39.2% (20)",NA,NA,NA,NA,NA,NA,"2","3.9%","3.9% (2)","48","94.1%","94.1% (48)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","5.9%","5.9% (3)","2","3.9%","3.9% (2)","20","39.2%","39.2% (20)",NA,NA,NA,NA,NA,NA,"26","51.0%","51.0% (26)",NA,NA,NA,"3","5.9%","5.9% (3)",NA,NA,NA,"3","5.9%","5.9% (3)","1","2.0%","2.0% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"47","92.2%","92.2% (47)"
